"GRID_ID","s_j_erhjahr","bfs_akt","raumplanreg_code","bezirk_code","typ","c_zone","n_qmareal","n_zimmer","n_qmwhg","gbauj","neubau","lage","lage_class","seedist","distparade","id_ha_geb","n_preis","id_grid"
"AC-37",2012,198,108,109,"STW",11,0,4,NA,1972,0,3,"mittel",5000,12.6,28912,119304.796142038,1031
"H-34",2015,248,104,111,"STW",1,0,0,NA,1997,0,4,"gehoben",5000,7.4,32286,1836298.67171776,290
"Q-41",2008,139,106,106,"Land",1,890,NA,NA,NA,NA,5,"hoch",585,7.2,1627,2737.09833266085,162
"AA-28",2016,296,109,108,"EFH",1,510,5,120,1964,0,3,"mittel",5000,12.4,68133,394643.408426899,1290
"AD-43",2010,192,107,109,"EFH",1,510,7,100,1966,0,3,"mittel",4200,15.8,37913,1016157.09690051,852
"G-45",2013,10,105,101,"EFH",1,760,5,150,1977,0,2,"günstig",5000,14.2,7580,1718960.15058795,779
"AE-45",2017,157,107,107,"EFH",1,330,6,170,2017,1,3,"mittel",2414,18.2,54745,311633.072047029,793
"AH-44",2017,116,108,105,"STW",3,0,4,NA,1966,0,2,"günstig",4968,19.4,56519,600780.402210192,822
"AD-38",2012,198,108,109,"EFH",11,660,5,110,1981,0,3,"mittel",5000,13.6,49062,497167.50204959,1006
"I-44",2009,2,105,101,"STW",3,0,3,NA,1984,0,2,"günstig",5000,12.2,29357,430486.129429075,809
"U-6",2007,38,110,102,"EFH",1,600,5,140,1951,0,1,"sehr günstig",5000,30.8,55793,1582425.97178707,627
"Y-33",2007,197,102,109,"STW",11,0,0,NA,2007,1,2,"günstig",5000,8.6,33838,157475.406663492,1139
"T-21",2009,56,111,103,"EFH",1,300,5,NA,1994,0,2,"günstig",5000,15.4,79245,1006227.07562451,1522
"P-34",2008,261,101,112,"STW",3,0,0,NA,1895,0,5,"hoch",1312,1,55199,663914.707429009,1097
"W-28",2014,54,102,103,"STW",1,0,0,NA,2010,0,4,"gehoben",5000,9.6,11458,2426853.99653402,383
"Y-27",2009,64,102,103,"MFH",11,930,NA,NA,1966,0,3,"mittel",5000,11.6,82218,1653462.97910891,397
"AF-48",2016,158,107,107,"EFH",1,900,4,130,1977,0,5,"hoch",599,20.6,19997,2420254.99530532,733
"W-44",2017,156,107,107,"STW",3,0,0,NA,2015,1,5,"hoch",283,12.2,60913,430410.293530207,123
"D-29",2011,246,104,111,"STW",1,0,0,NA,2011,1,4,"gehoben",5000,12.8,39157,411308.019839576,353
"N-36",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",1561,2.2,17263,982970.967726433,1050
"F-34",2014,250,104,111,"STW",1,0,0,NA,1997,0,3,"mittel",5000,9.2,44663,2268757.94718636,1090
"AG-24",2012,230,109,110,"EFH",1,340,5,150,1998,0,NA,NA,5000,19.4,36636,2921363.62579011,440
"I-22",2008,101,111,104,"STW",11,0,3,NA,1973,0,2,"günstig",5000,14.8,80573,1439792.17494722,1478
"AO-37",2011,111,108,105,"STW",3,0,0,NA,NA,NA,2,"günstig",5000,23.6,56232,2798431.24109088,1036
"AL-38",2012,121,108,105,"EFH",1,770,5,150,1982,0,3,"mittel",5000,20.8,63400,1003415.45071732,213
"G-45",2016,10,105,101,"STW",3,0,3,NA,2016,1,2,"günstig",5000,14.2,54356,2703015.85247996,779
"Q-41",2009,139,106,106,"EFH",11,400,7,160,1944,0,5,"hoch",585,7.2,16818,80148.2295432361,162
"N-39",2013,261,101,112,"STW",1,0,3,NA,1963,0,4,"gehoben",2065,4.8,36034,822115.023542778,967
"AC-20",2010,230,109,110,"EFH",1,680,6,160,1924,0,3,"mittel",5000,19.6,14522,139752.679523313,1565
"X-45",2015,156,107,107,"EFH",3,260,7,130,1661,0,4,"gehoben",250,13.2,48066,2056922.39356658,108
"Q-29",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",5000,5.8,70706,1200771.81453689,360
"I-34",2015,248,104,111,"STW",1,0,0,NA,2015,1,4,"gehoben",5000,6.4,64089,2568584.61365127,291
"AD-36",2012,198,108,109,"STW",3,0,0,NA,2012,1,3,"mittel",5000,13.2,66809,2795403.97388709,1057
"AJ-40",2014,121,108,105,"STW",1,0,0,NA,1962,0,3,"mittel",5000,19.4,78717,1860077.78256387,949
"AH-7",2015,44,110,102,"EFH",3,620,NA,NA,NA,NA,1,"sehr günstig",5000,34.4,65307,1336168.87318168,1834
"O-33",2015,261,101,112,"STW",3,0,0,NA,2015,1,5,"hoch",2123,1.8,49878,2026094.93201913,1130
"I-44",2012,2,105,101,"STW",3,0,3,NA,NA,NA,2,"günstig",5000,12.2,30665,1751798.2191823,809
"P-33",2012,261,101,112,"MFH",11,600,NA,NA,1895,0,4,"gehoben",2367,2,54972,575417.812877684,1131
"AE-47",2016,158,107,107,"STW",3,0,4,NA,1774,0,4,"gehoben",744,19.6,16574,1838066.47873938,750
"AD-19",2007,230,109,110,"EFH",1,270,3,100,1954,0,2,"günstig",5000,21.6,24160,1982634.46777395,1602
"O-40",2016,131,106,106,"EFH",1,580,6,150,1960,0,4,"gehoben",1977,6,47734,626736.509466544,935
"U-31",2015,191,102,109,"STW",3,0,0,NA,2015,1,3,"mittel",5000,6,26181,2477798.63691132,328
"AD-43",2016,192,107,109,"STW",1,0,0,NA,2005,0,3,"mittel",4200,15.8,42194,2876820.64946555,852
"AD-39",2007,198,108,109,"STW",3,0,0,NA,2007,1,3,"mittel",5000,13.8,82337,497518.481140607,194
"E-29",2009,244,104,111,"STW",1,0,5,NA,2009,1,3,"mittel",5000,11.6,26921,2823762.28549972,1256
"AE-37",2016,198,108,109,"STW",3,0,0,NA,2016,1,2,"günstig",5000,14.4,19243,2497439.22613154,1033
"J-33",2008,261,101,112,"STW",1,0,5,NA,2003,0,4,"gehoben",5000,5.8,76965,7291.11455578823,304
"AL-41",2015,117,108,105,"EFH",3,610,4,180,1760,0,2,"günstig",5000,21.6,24300,1404394.97143123,919
"W-25",2017,64,102,103,"STW",3,0,5,NA,2002,0,3,"mittel",5000,12,22204,2633111.89308658,1388
"V-32",2007,191,102,109,"STW",11,0,0,NA,2007,1,3,"mittel",5000,6.4,9100,2632026.50160494,1173
"V-2",2008,29,110,102,"Land",1,590,NA,NA,NA,NA,2,"günstig",5000,35.8,1070,1038.94928092731,658
"X-2",2015,27,110,102,"EFH",1,670,3,90,1971,0,2,"günstig",5000,36.2,14812,54026.0925869225,1855
"C-20",2008,91,111,104,"STW",11,0,5,NA,1992,0,2,"günstig",5000,19.6,37744,1889083.83816562,468
"H-32",2010,247,104,111,"MFH",3,640,NA,NA,1953,0,2,"günstig",5000,8,51841,2040349.91394705,1163
"AA-16",2015,223,109,110,"STW",3,0,4,NA,1993,0,2,"günstig",5000,22.2,76598,1337132.93728174,516
"AB-31",2013,199,102,109,"STW",3,0,0,NA,2013,1,3,"mittel",5000,12,33459,848444.069609861,330
"AH-28",2012,180,109,108,"EFH",3,290,4,100,1875,0,1,"sehr günstig",5000,18.4,62838,768906.311899191,1297
"AI-23",2017,230,109,110,"EFH",3,1800,6,160,2016,1,3,"mittel",5000,21.6,51281,2512305.64001366,1463
"W-26",2008,52,102,103,"STW",1,0,0,NA,2002,0,3,"mittel",5000,11.2,28402,1218479.03774062,1353
"AC-46",2017,155,107,107,"STW",3,0,4,NA,2017,1,4,"gehoben",591,17.4,70922,1447370.15967211,91
"O-9",2017,67,111,103,"EFH",3,550,5,140,1979,0,2,"günstig",5000,27.2,13005,1485132.86232401,1799
"AL-21",2017,219,109,110,"EFH",1,440,6,140,1959,0,2,"günstig",5000,25.4,35295,1249751.19269115,1538
"S-44",2014,137,106,106,"EFH",1,580,8,180,1959,0,4,"gehoben",506,10.8,78724,1258630.80830534,120
"AI-42",2012,115,108,105,"EFH",3,260,5,170,1650,0,2,"günstig",5000,19.6,60862,2484995.23597362,885
"AB-50",2010,142,106,106,"STW",3,0,4,NA,2004,0,3,"mittel",232,19.8,10790,1246799.75160898,41
"P-34",2014,261,101,112,"MFH",3,260,NA,NA,1895,0,5,"hoch",1312,1,44918,747953.292110702,1097
"Q-28",2010,66,102,103,"STW",3,0,0,NA,NA,NA,2,"günstig",5000,7,81611,1787566.10715284,382
"G-45",2010,10,105,101,"Land",3,2300,NA,NA,NA,NA,2,"günstig",5000,14.2,3151,2552.63471904292,779
"AC-46",2012,155,107,107,"STW",3,0,4,NA,1998,0,4,"gehoben",591,17.4,11051,1884337.23329613,91
"Q-29",2009,261,101,112,"MFH",11,470,NA,NA,1945,0,4,"gehoben",5000,5.8,11951,1149066.02655747,360
"Y-52",2013,140,106,106,"EFH",1,340,5,200,1988,0,4,"gehoben",3892,20.8,68012,717166.080737719,676
"J-28",2008,96,103,104,"STW",11,0,5,NA,1975,0,3,"mittel",5000,9.2,57058,865703.594999039,1283
"L-45",2017,1,105,101,"EFH",3,260,7,110,1850,0,3,"mittel",5000,11.4,64347,1348586.85513702,102
"AP-46",2015,118,108,105,"EFH",1,490,5,140,1977,0,2,"günstig",3929,27,38467,2771821.8845512,776
"O-36",2007,261,101,112,"EFH",11,110,4,80,1922,0,5,"hoch",626,2,43710,2924425.11409253,1051
"AF-18",2017,227,109,110,"STW",11,0,0,NA,2017,1,3,"mittel",5000,23.6,35028,743493.217446143,1637
"X-35",2011,193,102,109,"Land",1,1220,NA,NA,NA,NA,3,"mittel",5000,7.6,5680,2997.39927472128,1077
"AO-41",2016,117,108,105,"Land",3,1040,NA,NA,1927,0,3,"mittel",5000,24.4,7554,1055.66594087041,922
"AE-20",2010,230,109,110,"STW",1,0,4,NA,2010,1,3,"mittel",5000,20.8,51818,2659321.8046712,1567
"AI-47",2009,153,107,107,"MFH",6,3420,NA,NA,1750,0,2,"günstig",1197,22.4,18245,1262843.9080558,754
"U-21",2009,56,111,103,"EFH",1,330,5,160,2009,1,2,"günstig",5000,15.2,46879,105299.104941427,1523
"P-20",2015,53,111,103,"STW",11,0,0,NA,2015,1,3,"mittel",5000,16,54391,662019.908501999,1554
"AO-37",2016,111,108,105,"EFH",1,940,8,220,1983,0,2,"günstig",5000,23.6,25503,2553186.21361686,1036
"J-50",2010,7,105,101,"STW",3,0,3,NA,NA,NA,2,"günstig",5000,17.2,46822,1540151.80660342,688
"AA-37",2008,195,102,109,"EFH",1,530,4,130,1981,0,4,"gehoben",5000,10.8,67472,914889.31169128,229
"AB-20",2009,230,109,110,"Land",1,340,NA,NA,NA,NA,3,"mittel",5000,19.6,2530,2473.80928270856,1564
"AI-32",2013,178,108,108,"EFH",1,1120,5,160,1978,0,3,"mittel",5000,18,32216,2008689.69895912,1183
"W-2",2013,29,110,102,"STW",3,0,4,NA,1996,0,2,"günstig",5000,35.4,78600,1523917.11515817,659
"X-35",2008,193,102,109,"STW",3,0,0,NA,2008,1,2,"günstig",5000,7.6,17809,2890271.01270901,1077
"G-43",2013,2,105,101,"EFH",3,400,5,140,2003,0,2,"günstig",5000,12.4,58179,2562015.90236544,836
"W-28",2013,54,102,103,"STW",2,0,0,NA,2013,1,3,"mittel",5000,9.6,36119,2433922.45625996,383
"Q-31",2008,261,101,112,"STW",11,0,1,NA,1973,0,4,"gehoben",3999,3.8,16152,1113862.83175973,1207
"AF-48",2013,158,107,107,"MFH",11,960,NA,NA,1955,0,4,"gehoben",599,20.6,81759,1979845.50864412,733
"S-44",2014,137,106,106,"STW",3,0,0,NA,2002,0,5,"hoch",506,10.8,37799,1610484.60208543,120
"S-18",2011,68,111,103,"EFH",1,400,NA,NA,NA,NA,2,"günstig",5000,17.8,30716,1731213.16437412,1628
"G-25",2015,83,103,104,"STW",1,0,0,NA,1987,0,2,"günstig",5000,13,61387,1691724.3128001,1373
"K-38",2014,14,105,101,"STW",1,0,4,NA,2014,1,4,"gehoben",4515,6,59607,1531668.8145072,996
"W-29",2011,200,102,109,"STW",1,0,4,NA,1999,0,3,"mittel",5000,8.8,21091,304562.283937121,363
"AA-49",2017,142,106,106,"STW",3,0,5,NA,1969,0,4,"gehoben",342,18.8,54177,48715.8148712479,48
"H-28",2008,84,103,104,"STW",1,0,4,NA,2005,0,3,"mittel",5000,10.4,14032,170840.755258687,1281
"R-22",2012,72,111,103,"STW",1,0,3,NA,2012,1,4,"gehoben",5000,14,83062,2250701.47057751,1484
"AT-42",2014,120,108,105,"STW",3,0,0,NA,1875,0,1,"sehr günstig",5000,29,42987,1837026.56128106,896
"V-29",2009,54,102,103,"EFH",3,30,2,50,1730,0,4,"gehoben",5000,8.4,22198,2319871.63494423,362
"Q-42",2014,141,106,106,"STW",1,0,6,NA,1974,0,4,"gehoben",1043,8.2,81692,1227550.20379124,875
"AB-35",2016,198,108,109,"STW",11,0,0,NA,1974,0,3,"mittel",5000,11.2,18702,1096908.42453821,1078
"AJ-27",2012,231,109,110,"EFH",3,450,4,70,1980,0,1,"sehr günstig",5000,20.6,58144,1559141.85763407,399
"D-32",2011,243,104,111,"EFH",3,550,7,NA,1946,0,3,"mittel",5000,11.6,58148,1760166.64068005,312
"AB-33",2008,199,102,109,"STW",3,0,0,NA,2008,1,3,"mittel",5000,11.4,34508,983789.759243606,1142
"F-46",2015,10,105,101,"EFH",3,260,7,150,2016,1,2,"günstig",5000,15,27464,2599733.46202401,756
"AJ-21",2016,219,109,110,"EFH",1,950,5,100,1966,0,2,"günstig",5000,24,22968,787667.630980955,1536
"AL-27",2007,231,109,110,"STW",11,0,4,NA,1973,0,1,"sehr günstig",5000,22.2,33923,1697873.9429065,401
"W-28",2012,54,102,103,"STW",3,0,0,NA,2012,1,3,"mittel",5000,9.6,13361,1393992.45232774,383
"AB-41",2009,192,107,109,"EFH",1,250,5,120,1999,0,3,"mittel",5000,13,64265,1879390.74427518,911
"D-26",2009,94,103,104,"EFH",1,430,5,210,2009,1,3,"mittel",5000,14.6,51086,1640530.70155147,1336
"AJ-39",2014,121,108,105,"STW",3,0,0,NA,2014,1,3,"mittel",5000,19.2,64802,2090258.4059987,978
"R-34",2008,261,101,112,"STW",1,0,7,NA,1971,0,6,"sehr hoch",2020,2.2,74989,615599.923668313,1099
"AF-21",2016,230,109,110,"EFH",1,1180,7,300,1930,0,3,"mittel",5000,21.2,49292,1490874.88486234,1532
"Q-42",2009,141,106,106,"STW",1,0,6,NA,1974,0,4,"gehoben",1043,8.2,81697,2203524.63594463,875
"I-28",2014,96,103,104,"EFH",1,820,6,200,1982,0,3,"mittel",5000,9.4,11250,362344.72736856,1282
"Y-47",2016,142,106,106,"STW",1,0,4,NA,2016,1,4,"gehoben",278,16,61479,1124360.91237853,68
"G-25",2012,83,103,104,"STW",1,0,4,NA,2012,1,3,"mittel",5000,13,10750,2786498.59659688,1373
"E-29",2013,244,104,111,"Land",3,810,NA,NA,NA,NA,3,"mittel",5000,11.6,5124,903.536175708286,1256
"AE-36",2012,198,108,109,"STW",11,0,4,NA,1995,0,3,"mittel",5000,14.2,66468,1771359.75788115,1058
"Y-32",2008,191,102,109,"STW",1,0,0,NA,2000,0,3,"mittel",5000,8.8,60301,1219255.50909829,1176
"S-39",2009,154,107,107,"STW",11,0,5,NA,2009,1,4,"gehoben",234,5.8,36933,2719922.01103223,190
"Y-33",2007,197,102,109,"STW",11,0,0,NA,2007,1,2,"günstig",5000,8.6,13543,742212.087370106,1139
"L-35",2013,261,101,112,"EFH",9,2430,6,150,1944,0,5,"hoch",3522,3.6,75275,2163373.41919169,1069
"N-14",2007,55,111,103,"STW",3,0,3,NA,2006,1,2,"günstig",5000,22.6,61762,737671.865734621,1718
"Q-33",2015,261,101,112,"STW",11,0,0,NA,2004,0,5,"hoch",1917,1.8,37987,859738.528082031,1132
"AI-28",2008,180,109,108,"Land",1,870,NA,NA,NA,NA,2,"günstig",5000,19,1060,1909.52271110599,1298
"AP-39",2009,111,108,105,"MFH",6,3500,NA,350,1850,0,NA,NA,5000,24.6,18606,2640064.84988274,984
"AM-38",2007,121,108,105,"STW",3,0,0,NA,2007,1,3,"mittel",5000,21.8,20804,2610270.60627728,1011
"P-19",2012,53,111,103,"STW",3,0,0,NA,2012,1,3,"mittel",5000,17,25682,67094.8103721021,1591
"AD-20",2009,230,109,110,"STW",1,0,0,NA,2009,1,3,"mittel",5000,20.6,42249,2851497.36051681,1566
"R-35",2008,261,101,112,"STW",1,0,4,NA,1924,0,5,"hoch",1507,2,71673,262068.437751266,1073
"N-25",2011,92,111,104,"Land",1,3070,NA,NA,NA,NA,2,"günstig",5000,10.8,3673,1652.41580343386,1380
"AC-46",2008,155,107,107,"STW",1,0,0,NA,2008,1,4,"gehoben",591,17.4,33771,575813.760368153,91
"AF-21",2014,230,109,110,"MFH",11,370,NA,NA,1911,0,2,"günstig",5000,21.2,36631,1253374.26010997,1532
"AP-47",2009,118,108,105,"EFH",1,330,5,140,2005,0,2,"günstig",2986,27.6,55317,512133.821342723,77
"AL-39",2012,121,108,105,"STW",3,0,0,NA,1959,0,2,"günstig",5000,21,35232,1948378.01177648,980
"S-39",2007,154,107,107,"STW",1,0,5,NA,2007,1,4,"gehoben",234,5.8,49013,2134337.34252164,190
"H-43",2012,2,105,101,"EFH",1,420,6,170,2006,0,2,"günstig",5000,11.4,54616,1138840.77890462,837
"Q-33",2012,261,101,112,"STW",11,0,0,NA,2012,1,5,"hoch",1917,1.8,81267,1411764.27317155,1132
"Q-30",2015,261,101,112,"MFH",3,1280,NA,NA,1975,0,4,"gehoben",5000,4.8,10904,1463540.28211068,1237
"H-19",2012,81,111,104,"Land",1,540,NA,NA,NA,NA,3,"mittel",5000,18.6,4926,886.063068928663,1584
"AA-53",2012,138,106,106,"EFH",3,410,7,250,2003,0,2,"günstig",3511,22.6,78126,1865455.87324048,674
"P-20",2010,53,111,103,"Land",11,990,NA,NA,NA,NA,3,"mittel",5000,16,3131,1262.14462674712,1554
"X-39",2007,160,107,107,"EFH",1,1360,7,270,1967,0,6,"sehr hoch",4508,8.8,24051,2288523.43947079,972
"AA-49",2007,142,106,106,"STW",11,0,0,NA,1988,0,4,"gehoben",342,18.8,54717,2559227.49565064,48
"W-36",2008,195,102,109,"STW",3,0,0,NA,2008,1,3,"mittel",4642,6.8,75833,2252919.15225016,249
"AH-47",2016,153,107,107,"EFH",3,230,5,140,2016,1,2,"günstig",1759,21.2,47352,1746956.74349088,753
"AI-41",2016,115,108,105,"STW",11,0,0,NA,2016,1,3,"mittel",5000,19.2,76068,2384274.62029876,916
"AP-44",2011,113,108,105,"STW",1,0,0,NA,2011,1,2,"günstig",5000,26.2,81353,1642142.80714863,829
"AJ-17",2011,225,109,110,"EFH",1,360,5,120,1999,0,3,"mittel",5000,26.8,18726,989348.899582401,1668
"P-20",2014,53,111,103,"STW",11,0,0,NA,2014,1,2,"günstig",5000,16,66032,1278513.09970452,1554
"AJ-47",2010,153,107,107,"STW",11,0,3,NA,1985,0,3,"mittel",1450,22.8,82296,2564608.90221421,755
"P-20",2017,53,111,103,"STW",11,0,4,NA,2004,0,3,"mittel",5000,16,74465,1789600.50575843,1554
"U-32",2008,191,102,109,"STW",11,0,5,NA,1974,0,3,"mittel",5000,5.4,29245,1333822.26021483,1172
"I-45",2012,2,105,101,"STW",3,0,0,NA,2007,0,2,"günstig",5000,13,61690,1909086.55953384,781
"V-31",2007,191,102,109,"Land",1,180,NA,NA,NA,NA,3,"mittel",5000,7,402,2050.12992136879,329
"AL-29",2007,182,108,108,"Land",1,1330,NA,NA,NA,NA,2,"günstig",5000,21.6,965,2553.28734328016,1276
"AI-24",2007,230,109,110,"Land",1,670,NA,NA,NA,NA,3,"mittel",5000,21,340,1487.10336934717,1424
"J-35",2008,248,104,111,"STW",1,0,5,NA,2008,1,5,"hoch",5000,5.4,38612,2161843.99846208,267
"J-29",2008,96,103,104,"STW",3,0,4,NA,1991,0,2,"günstig",5000,8.4,27533,2767362.23380058,1259
"M-33",2014,261,101,112,"STW",3,0,3,NA,2014,1,4,"gehoben",3342,3,25130,925473.774377606,1128
"AB-34",2014,198,108,109,"STW",3,0,0,NA,2013,1,2,"günstig",5000,11.2,20045,315934.380815364,1105
"V-32",2007,191,102,109,"STW",3,0,0,NA,2007,1,3,"mittel",5000,6.4,42186,2698728.48747717,1173
"AC-51",2015,138,106,106,"EFH",1,850,7,150,1998,0,4,"gehoben",738,21.6,52385,1265748.484649,687
"F-21",2012,99,111,104,"Land",3,550,NA,NA,NA,NA,2,"günstig",5000,17.6,4569,2011.39332498144,1512
"K-38",2016,14,105,101,"EFH",1,400,5,180,2015,1,3,"mittel",4515,6,42605,2414612.39350541,996
"M-33",2010,261,101,112,"EFH",3,270,5,130,1928,0,4,"gehoben",3342,3,31445,2457738.51466272,1128
"Q-30",2016,261,101,112,"STW",3,0,4,NA,2007,0,4,"gehoben",5000,4.8,50310,203652.905042516,1237
"AD-39",2014,198,108,109,"EFH",3,190,5,170,1995,0,3,"mittel",5000,13.8,30909,2704694.98746074,194
"AE-47",2013,158,107,107,"EFH",1,560,4,100,1957,0,4,"gehoben",744,19.6,42415,1238970.78818316,750
"P-44",2011,136,106,106,"STW",1,0,0,NA,2011,1,3,"mittel",2746,9.8,51193,2542176.61204189,814
"AF-21",2012,230,109,110,"STW",1,0,0,NA,1994,0,3,"mittel",5000,21.2,44630,2870195.67146117,1532
"L-33",2010,261,101,112,"STW",11,0,0,NA,NA,NA,4,"gehoben",4407,4.2,19829,1039769.35186842,1127
"T-41",2007,154,107,107,"STW",11,0,3,NA,2007,1,5,"hoch",337,7.6,45373,1800427.04076273,164
"AE-36",2011,198,108,109,"STW",3,0,4,NA,1999,0,3,"mittel",5000,14.2,62225,329333.546149777,1058
"AB-33",2012,199,102,109,"EFH",3,680,6,210,1992,0,3,"mittel",5000,11.4,44862,829388.2441764,1142
"H-36",2015,242,104,111,"MFH",1,1020,NA,NA,1971,0,3,"mittel",5000,7.4,46613,1580698.83815548,1047
"N-33",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",3084,2.6,46710,1577414.13227725,1129
"AN-41",2016,117,108,105,"STW",3,0,0,NA,2016,1,2,"günstig",5000,23.4,23351,965939.679836272,921
"R-18",2012,68,111,103,"Land",1,540,NA,NA,NA,NA,2,"günstig",5000,18.2,4395,1535.58116512722,1627
"J-35",2013,248,104,111,"EFH",1,280,5,100,1968,0,4,"gehoben",5000,5.4,43170,2244847.50472941,267
"Q-39",2012,135,106,106,"STW",1,0,0,NA,NA,NA,5,"hoch",245,5,50783,282595.768331201,189
"P-44",2009,141,106,106,"STW",3,0,4,NA,2009,1,4,"gehoben",2746,9.8,67397,1151102.2891273,814
"AM-26",2015,231,109,110,"STW",3,0,3,NA,1993,0,2,"günstig",5000,23.4,21114,1114922.82751412,1364
"Q-21",2007,51,111,103,"Land",1,1090,NA,NA,NA,NA,3,"mittel",5000,14.4,669,2710.66400089778,1519
"D-22",2017,98,111,104,"EFH",3,260,6,240,2009,0,3,"mittel",5000,17.8,81344,2328061.27719861,1473
"O-33",2010,261,101,112,"STW",3,0,0,NA,NA,NA,4,"gehoben",2123,1.8,33953,754825.994386105,1130
"K-33",2012,261,101,112,"STW",11,0,2,NA,1996,0,4,"gehoben",4912,4.8,80217,2855012.54079083,1126
"AF-38",2013,198,108,109,"STW",1,0,5,NA,1980,0,3,"mittel",5000,15.4,38802,403830.61306132,1008
"Q-31",2013,261,101,112,"STW",1,0,1,NA,1973,0,4,"gehoben",3999,3.8,20414,1287566.81125588,1207
"F-30",2008,244,104,111,"Land",1,710,NA,NA,NA,NA,4,"gehoben",5000,10.6,5334,819.479575731792,1229
"AL-27",2015,231,109,110,"Land",1,430,NA,NA,NA,NA,1,"sehr günstig",5000,22.2,6758,1776.13926042768,401
"AB-52",2010,138,106,106,"EFH",3,5090,5,130,2004,0,2,"günstig",1788,21.6,64511,115238.257477293,679
"N-36",2010,261,101,112,"STW",3,0,0,NA,1926,0,4,"gehoben",1561,2.2,73113,2713724.36062538,1050
"AA-15",2007,31,110,102,"Land",1,290,NA,NA,NA,NA,2,"günstig",5000,23.2,479,2638.54818009329,531
"J-20",2007,88,111,104,"EFH",3,440,4,110,1986,0,3,"mittel",5000,17,55560,111689.638285199,1550
"AI-20",2007,219,109,110,"MFH",3,1880,NA,NA,1995,0,2,"günstig",5000,23.6,8597,539740.209497046,1571
"AC-37",2015,198,108,109,"STW",3,0,0,NA,2015,1,3,"mittel",5000,12.6,59226,1999897.95504743,1031
"R-42",2012,141,106,106,"STW",3,0,4,NA,1982,0,4,"gehoben",231,7.8,75392,2223964.74710479,148
"J-50",2013,7,105,101,"STW",1,0,5,NA,2013,1,2,"günstig",5000,17.2,20439,2913164.62809732,688
"G-43",2012,2,105,101,"EFH",6,5720,4,130,1894,0,NA,NA,5000,12.4,20164,2381788.7023678,836
"AI-17",2016,298,109,110,"EFH",1,650,5,110,1962,0,2,"günstig",5000,25.8,28956,2579780.94477649,1667
"H-31",2014,249,104,111,"EFH",1,460,5,140,2000,0,4,"gehoben",5000,8.4,24800,1489483.57347795,1200
"AP-46",2015,118,108,105,"EFH",1,2100,5,70,1914,0,2,"günstig",3929,27,29052,2018868.28884215,776
